,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,leverage_hint,ESloss_SPY,ESloss_QQQ,ESloss_IWM,ESloss_EFA,ESloss_EEM,ESloss_TLT,ESloss_LQD,ESloss_GLD,k_SPY,k_QQQ,k_IWM,k_EFA,k_EEM,k_TLT,k_LQD,k_GLD,method_SPY,method_QQQ,method_IWM,method_EFA,method_EEM,method_TLT,method_LQD,method_GLD
2013-12-31,0.10818592419027918,0.10347472164182094,0.08286026276942114,0.0816545129734503,0.07717415471352995,0.13192714860692553,0.3205006403151584,0.0942226347894146,1.8486617189880366,0.02621998124461093,0.027413776603517338,0.03423393564528804,0.03473945039782849,0.03675625491111093,0.02150150998602808,0.008850631001581368,0.03010564191438531,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-01-31,0.1088603104034607,0.10419572050843488,0.08269564395263497,0.0818464905830387,0.07724739515564184,0.1312014045031898,0.3186842182483058,0.09526881664529324,1.8514529264278181,0.025914204163582505,0.027074320282452255,0.0341133846266682,0.034467309337400664,0.03651939723562586,0.02150150998602808,0.008852111738110027,0.029611245404774514,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-02-28,0.10827024419484134,0.1037121051246761,0.08218150787676697,0.08205566944978407,0.07711212380993776,0.1309946743805475,0.3203667140791103,0.09530696108433594,1.8553297163305809,0.026065867260563827,0.02721146012858332,0.03434054553590639,0.034393209297727476,0.03659810771659569,0.02154406525911905,0.008809148046368735,0.029611245404774514,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-03-31,0.10794055526798432,0.10388596575479626,0.08188776083811763,0.08168796878107444,0.07693818606852086,0.13099570735060892,0.32164137656505903,0.09502247937383856,1.8606199901799585,0.026065867260563827,0.027083198054756827,0.03435878764848528,0.03444282221274527,0.036569151541226655,0.021478293010902653,0.008747519413372887,0.02960945877425146,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-04-30,0.10903261490336524,0.10314205558311718,0.08214521426983785,0.08266196160225626,0.07778892160222044,0.12864080027402597,0.32314055000687536,0.0934478817583016,1.8593971419591904,0.025340901930044946,0.02678814946843851,0.033635371530792275,0.03342510566997142,0.035519001221938365,0.021478293010902653,0.00855041189161728,0.029567120724992582,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-05-30,0.11082780766004,0.104815903319587,0.08456157925975392,0.08369114354421513,0.07792813283787417,0.1278125203629011,0.31825016894063374,0.09211274407499492,1.855578418972842,0.024530211818054898,0.025937186162888287,0.032149702276496245,0.032484077551110775,0.0348863689944607,0.021270448227703822,0.008542429392201078,0.02951415273241688,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-06-30,0.1118631457810316,0.10587710483680188,0.08493177838040393,0.08383542336087173,0.07808600244552208,0.1273963947999947,0.31512014906970276,0.0928900013256714,1.8540502046848069,0.024137062529674472,0.02550171492358695,0.031790783096398996,0.032206526027314566,0.03457787132036348,0.021194067137628003,0.008568311967527078,0.02906715153352739,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-07-31,0.11249995638850903,0.10658627467561,0.08527716317218512,0.08403038972585344,0.07825033739160302,0.12704523009007848,0.3141188662547631,0.09219178230139792,1.8532855921502525,0.023931759984864992,0.02525955581796553,0.031571429611951876,0.03203986038124058,0.03440652199522002,0.021191838156290072,0.008571029135238235,0.02920349175803658,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-08-29,0.11232741978724221,0.10624067736524034,0.08514140246422788,0.08390913693927086,0.07756175578960298,0.12725525736535104,0.3165058632651527,0.09105848702391203,1.8370406030112671,0.023673879274881397,0.025030203508210475,0.031233051116574786,0.031691730749497604,0.03428527046906486,0.020896785173027732,0.008401821526681577,0.02920349175803658,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-09-30,0.1121521133600317,0.10591069372314244,0.08548024669876123,0.0840293728159522,0.07783700522709351,0.12786347742666548,0.31562896196435675,0.0910981287839967,1.8390877220047488,0.023747304680694928,0.025146756318172918,0.031157027610486596,0.031694993277861336,0.03421650664454731,0.020829328750831273,0.008438105267555486,0.029235621434766233,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-10-31,0.1109005042770455,0.10417358310616923,0.08485882857140188,0.08367907859751576,0.07765358814119572,0.12861379008683022,0.31887333303798937,0.09124729418185232,1.8560714245581762,0.02388358772959564,0.02542585024130129,0.031213038970111906,0.03165309618067241,0.03410920199001158,0.020594229602976567,0.008306439105215663,0.02902773114431703,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
