,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,FROM
SPY,24.29832623005977,21.021250814913188,18.88604504044332,17.87976567776012,14.669944472889556,2.056300101977094,1.082899502792021,0.10546815916492708,75.70167376994024
QQQ,23.523303812352054,26.976908645342817,17.073514700131458,15.611504270990494,14.240153235339417,1.3696506141423916,1.0878866240174039,0.11707809768396371,73.02309135465718
IWM,21.234163589467446,17.17345203943625,27.000239672448224,17.27883904328633,14.21552463947724,1.9341201940806356,1.0260688893741354,0.13759193242974815,72.99976032755178
EFA,19.35119711160954,15.149445113060676,16.631286861099543,26.175885065381692,18.84187508807838,2.1641745939210555,1.11912129446956,0.5670148723795487,73.82411493461831
EEM,17.418202791365804,15.134576154998767,14.923314186042036,20.473714237904066,28.172027630168444,1.848905429462571,1.050658399411473,0.9786011706468386,71.82797236983156
TLT,4.6396177092838755,2.8894737311979304,3.7471134644724042,4.371571054931949,3.1755354170912784,52.692013372526816,25.795180755066177,2.689494495429577,47.3079866274732
LQD,2.629722273831924,2.42411431237871,2.495984052644229,2.8392005963907088,2.367439270298255,27.084990034556167,55.85049739215121,4.308052067748807,44.1495026078488
GLD,0.37948769483846917,0.33637901880461296,0.40069063079977973,1.7655328451299825,2.930410198721141,4.1897624590641485,6.506366531981509,83.49137062066036,16.508629379339645
TO,89.1756949827491,74.12869118479014,74.15794893563277,80.22012772639364,70.44088232189527,40.64790342720407,37.668181997112285,8.90330079548341,
NET,13.474021212808873,1.1055998301329528,1.158188608081001,6.396012791775341,-1.387090047936279,-6.6600832002691295,-6.481320610736518,-7.6053285838562354,
TCI,59.41784142140758,,,,,,,,
